id;nome;placa_da_moto;latitude_atual;longitude_atual;cpf;link_para_foto
1;strategy;wireless attitude-oriented;83621;90458;45410;white
2;ADP Guatemala bypass;Architect Tasty orchid;32520;13819;88212;clicks-and-mortar Syrian Pound 24/365
3;Shoes Multi-channelled copy;Platinum Outdoors;55971;34291;50456;multi-byte
4;Internal Officer model;optimize;81669;57492;33045;User-friendly
5;hard drive SMTP withdrawal;Rubber Buckinghamshire challenge;94760;52538;22185;Consultant Designer recontextualize
6;transmit Group;needs-based bluetooth Gorgeous;1364;18247;22641;calculating payment Wyoming
7;white next generation;alarm architecture Coordinator;13412;17571;52597;payment
8;Berkshire;Rustic Metal Hat;57633;60375;47524;plum Handmade Rubber Table Research
9;incubate reinvent;yellow Slovakia (Slovak Republic);5953;60096;11854;Toys
10;parse 6th generation;grey Cape Verde Escudo;11988;77589;30024;bleeding-edge Kansas South Dakota
